name,address,city,latitude,longitude,phone,website,has_adoration,has_confessions,country
Chapelle de la communauté des Béatitudes,,,43.1743954,-0.2631172,,,false,false,ES
Església Sant Llorenç Màrtir,,,39.5580007,-0.3260944,,,false,false,ES
Capela do Senhor das Almas,,Galveias,39.1744501,-7.9926444,,,false,false,ES
Capela de São Pedro,,,39.161084,-7.9982557,,,false,false,ES
Igreja da Misericórdia de Galveias,,Galveias,39.1589301,-7.9975759,,,false,false,ES
Igreja Rainha Santa Isabel,,,39.7829727,-7.9507336,,,false,false,ES
Nuestra Señora del Rosario,,,37.2162502,-2.0659209,,,false,false,ES
Parroquia de Santa María de Benquerencia,,,39.8678112,-3.9496791,,,false,false,ES
Iglesia de Candanchú,,,42.7881205,-0.5279471,,,false,false,ES
Santuario Nuestra Sª de la Esperanza,,,38.2603554,-1.7094331,,,false,false,ES
Ermita San José,,,38.0784895,-0.9727792,,,false,false,ES
Capela da Figueira,,,37.0743224,-8.8407392,,,false,false,ES
Parroquia de San Sebastián Mártir,,,40.3663911,-3.4881277,,,false,false,ES
San Andrés,San Andrés,,42.5486473,-2.2412433,,,false,false,ES
Església Parroquial de Sant Bertomeu Apòstol,,,40.7212142,-0.0040773,,,false,false,ES
